site,lon180_requested,lat_requested,lon360_grid,lon180_grid,lat_grid,depth_idx,depth_mid_m,depth_top_m,depth_bot_m,dz_m,scenario,temp_C,pO2_kPa,zmeso,zmicro,I_day_rel,I_night_rel
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,14,500,450,550,100,ssp585,7.73668622970581,10.2240018844604,3.45425576142588e-07,9.21051253044425e-08,4.28189887315966e-05,4.28189892431874e-08
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,15,600,550,650,100,ssp585,6.24307537078857,7.11363315582275,1.75723030793051e-07,3.62369263484652e-08,5.72748149352265e-06,5.72748160010406e-09
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,16,700,650,750,100,ssp585,5.45260095596313,5.34750556945801,9.84821824090432e-08,1.70558500656171e-08,7.66109735650389e-07,7.66109731209497e-10
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,17,800,750,850,100,ssp585,4.90260934829712,4.27790307998657,6.63563284319935e-08,1.04530704092554e-08,1.02475084418074e-07,1.02475083973985e-10
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,18,900,850,950,100,ssp585,4.46706008911133,3.54682111740112,4.94615690627143e-08,7.40591099557264e-09,1.37070994554733e-08,1.37070996913957e-11
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,19,1000,950,1050,100,ssp585,4.09371423721313,3.14306282997131,3.96029804505815e-08,5.7594080615786e-09,1.83346593463085e-09,1.83346588779332e-12
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,20,1100,1050,1150,100,ssp585,3.76518726348877,3.00754165649414,3.27961906521068e-08,4.679886256298e-09,2.45244990981774e-10,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,21,1200,1150,1250,100,ssp585,3.45882749557495,3.0127067565918,2.76462692738733e-08,3.88794063610476e-09,3.28040476726965e-11,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,22,1300,1250,1350,100,ssp585,3.18923926353455,3.16125273704529,2.40313404731296e-08,3.34123417822241e-09,4.38787938275564e-12,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,23,1400,1350,1468.75,118.75,ssp585,2.97963166236877,3.40830564498901,2.16750137838062e-08,2.98907965046169e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,24,1537.5,1468.75,1643.75,175,ssp585,2.74705719947815,3.88935804367065,1.97975307258957e-08,2.70862554607731e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,25,1750,1643.75,1906.25,262.5,ssp585,2.42460107803345,4.7190203666687,1.86290911585729e-08,2.52773868503198e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,26,2062.5,1906.25,2281.25,375,ssp585,2.05463933944702,5.35732698440552,1.84575075223847e-08,2.48373499545096e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,27,2500,2281.25,2750,468.75,ssp585,1.77303290367126,5.72764492034912,1.81962480638731e-08,2.40708386556321e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,28,3000,2750,3250,500,ssp585,1.50318253040314,6.55794143676758,1.89532940453319e-08,2.45740539028816e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,29,3500,3250,3750,500,ssp585,1.34650850296021,7.22951412200928,1.9638727977167e-08,2.50931697642898e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,30,4000,3750,4250,500,ssp585,1.28767764568329,7.5252890586853,1.99702689940295e-08,2.53417664630717e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,31,4500,4250,4750,500,ssp585,1.27333986759186,7.61056756973267,2.01259471310777e-08,2.54857313031209e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,32,5000,4750,5250,500,ssp585,1.26943206787109,7.63477849960327,2.01879082339929e-08,2.55481480415654e-09,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,33,5500,5250,5750,500,ssp585,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,34,6000,5750,6250,500,ssp585,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,35,6500,6250,6750,500,ssp585,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,1,2.5,0,6.25,6.25,hist,22.6444454193115,21.5734748840332,0.000873213575687259,0.000756980967707932,0.950951099395752,0.000950951070990413
BATS,-64.1667,31.6667,295.5,-64.5,31.5,2,10,6.25,15,8.75,hist,22.4955062866211,21.5756301879883,0.000876347767189145,0.000759182032197714,0.817772924900055,0.000817772932350636
BATS,-64.1667,31.6667,295.5,-64.5,31.5,3,20,15,26.25,11.25,hist,21.8953838348389,21.6663551330566,0.000888448790647089,0.000766109733376652,0.668752551078796,0.000668752531055361
BATS,-64.1667,31.6667,295.5,-64.5,31.5,4,32.5,26.25,41.875,15.625,hist,20.8478012084961,21.8113098144531,0.00090795214055106,0.000740483868867159,0.520063519477844,0.000520063505973667
BATS,-64.1667,31.6667,295.5,-64.5,31.5,5,51.25,41.875,63.125,21.25,hist,19.402717590332,21.5402450561523,0.000849853327963501,0.000607513531576842,0.356650412082672,0.000356650416506454
BATS,-64.1667,31.6667,295.5,-64.5,31.5,6,75,63.125,87.5,24.375,hist,18.1818580627441,19.9528522491455,0.000369096698705107,0.000217857130337507,0.22117979824543,0.00022117979824543
BATS,-64.1667,31.6667,295.5,-64.5,31.5,7,100,87.5,112.5,25,hist,17.6783580780029,18.9022846221924,0.000158807626576163,6.6905609855894e-05,0.133760318160057,0.000133760317112319
BATS,-64.1667,31.6667,295.5,-64.5,31.5,8,125,112.5,140.625,28.125,hist,17.4906063079834,18.4764442443848,0.000111516790639143,4.05092287110165e-05,0.0808926597237587,8.08926561148837e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,9,156.25,140.625,178.125,37.5,hist,17.3583660125732,18.1719703674316,8.36994076962583e-05,2.85098158201436e-05,0.0431406199932098,4.31406187999528e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,10,200,178.125,225,46.875,hist,17.2356777191162,17.8937244415283,6.08387163083535e-05,1.99951500690077e-05,0.0178918223828077,1.78918216988677e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,11,250,225,281.25,56.25,hist,17.1108951568604,17.6361465454102,4.37023154518101e-05,1.41980508487904e-05,0.00654362188652158,6.54362202112679e-06
BATS,-64.1667,31.6667,295.5,-64.5,31.5,12,312.5,281.25,356.25,75,hist,16.9426593780518,17.3190479278564,2.87376478809165e-05,9.57320571615128e-06,0.00186111312359571,1.86111310540582e-06
BATS,-64.1667,31.6667,295.5,-64.5,31.5,13,400,356.25,450,93.75,hist,16.6272678375244,16.8411445617676,1.45795238495339e-05,4.63071410194971e-06,0.000320117309456691,3.20117294450029e-07
BATS,-64.1667,31.6667,295.5,-64.5,31.5,14,500,450,550,100,hist,15.9248943328857,16.094654083252,4.81947745356592e-06,1.14736769774026e-06,4.28189887315966e-05,4.28189892431874e-08
BATS,-64.1667,31.6667,295.5,-64.5,31.5,15,600,550,650,100,hist,14.7807416915894,15.1078042984009,1.68323776961188e-06,3.50109161217915e-07,5.72748149352265e-06,5.72748160010406e-09
BATS,-64.1667,31.6667,295.5,-64.5,31.5,16,700,650,750,100,hist,13.3498067855835,14.2297325134277,6.50757499442989e-07,1.53998570340264e-07,7.66109735650389e-07,7.66109731209497e-10
BATS,-64.1667,31.6667,295.5,-64.5,31.5,17,800,750,850,100,hist,11.7127590179443,13.9657697677612,3.70363210322466e-07,8.3861870336932e-08,1.02475084418074e-07,1.02475083973985e-10
BATS,-64.1667,31.6667,295.5,-64.5,31.5,18,900,850,950,100,hist,10.1122913360596,14.4148359298706,3.35474169332883e-07,6.04345729016131e-08,1.37070994554733e-08,1.37070996913957e-11
BATS,-64.1667,31.6667,295.5,-64.5,31.5,19,1000,950,1050,100,hist,8.25748062133789,15.5425653457642,4.52363394742861e-07,6.58492425031909e-08,1.83346593463085e-09,1.83346588779332e-12
BATS,-64.1667,31.6667,295.5,-64.5,31.5,20,1100,1050,1150,100,hist,6.99046993255615,16.4656105041504,5.38297911134578e-07,7.7997086123105e-08,2.45244990981774e-10,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,21,1200,1150,1250,100,hist,6.37648677825928,16.9295291900635,5.28052055415174e-07,7.88022234132768e-08,3.28040476726965e-11,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,22,1300,1250,1350,100,hist,5.98388147354126,17.2079887390137,4.66758592665428e-07,7.32320231122685e-08,4.38787938275564e-12,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,23,1400,1350,1468.75,118.75,hist,5.68467855453491,17.4238567352295,4.09418476010615e-07,6.70992221785127e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,24,1537.5,1468.75,1643.75,175,hist,5.36949157714844,17.6910839080811,3.58756835794338e-07,6.10693788871686e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,25,1750,1643.75,1906.25,262.5,hist,5.08277034759521,17.9816055297852,3.26400055428167e-07,5.69978944042759e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,26,2062.5,1906.25,2281.25,375,hist,4.83428716659546,17.9981822967529,3.12969518745376e-07,5.42208944409595e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,27,2500,2281.25,2750,468.75,hist,4.48052644729614,17.6348361968994,2.55701309015421e-07,4.14087537592422e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,28,3000,2750,3250,500,hist,3.95208287239075,16.2424964904785,1.48085050000191e-07,2.18839311116881e-08,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,29,3500,3250,3750,500,hist,3.21802830696106,14.3763246536255,7.08015051031907e-08,9.90283943735903e-09,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,30,4000,3750,4250,500,hist,2.60735487937927,12.925609588623,4.08032470033959e-08,5.43850964263015e-09,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,31,4500,4250,4750,500,hist,2.37630867958069,12.3215427398682,3.66100998405727e-08,4.76547024064189e-09,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,32,5000,4750,5250,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,33,5500,5250,5750,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,34,6000,5750,6250,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
